#22】1973年,30
#5,30
#7shunt,30
#animalcelebrities,60
#animalsongs,30
#baboons,30
#bafici,30
#csm8,30
#drill,30
#evefanfest,30
#eveonline,30
#ff,30
#fpzoo,30
#greatjob,30
#instantchiale,30
#kiltro,30
#kotaku,30
#listenlive,60
#mandrill,150
#megamanx,30
#mirageman,30
#musicmonday,30
#nameanamazingband,90
#nerdatwork,30
#nowplaying,90
#popularscience,30
#spiritanimal,30
#spotify,60
#tráiganmelacabezadelamujermetralleta,30
#tweetfleet,90
#video,30
#wognum,30
#wordstothewise,30
10,30
1235,30
140,30
15,30
150t,30
1973,60
2,30
20,30
2012,30
2013,60
29th,30
2am,30
2nd,30
3,30
4,30
5,90
70,30
70s,30
7s,30
=,90
@,30
@alicegreennn,30
@astomasroncero,30
@bazzabhoy87,30
@blackmajic,30
@burnziey,30
@ccpgames,120
@ccpguard,60
@ccpmanifest,30
@charlie29598,30
@davidquammens,30
@espsmile,30
@franciscodanrl1,30
@frankierocker,30
@freebooted,120
@girobabies,30
@grooveshark,30
@hilmarveigar,30
@ismalongo,30
@jedilaura,30
@jheanley,30
@jsmedley,30
@jurandirfilho,30
@justdewyou,30
@katiephd,30
@kelduum,60
@khamili1015,30
@kirithkodachi,30
@lindawilsonn,30
@lostbhoy,30
@mandrill,1230
@maxursa,60
@missmya,60
@molokob,30
@mrchuckd,30
@naattmarcos15,30
@namimaaaa,30
@orgullobiri,30
@ouhyeah84,30
@picturechanging,30
@psypsoft,30
@pyrostinger,30
@raqueltarari,30
@recoletamall,30
@reesnoturana,30
@sifteo,30
@siriasly,30
@sjsharkfinatic,30
@smoothmcgroove,270
@spreaker,30
@strangelocation,30
@tbobbymitchell,30
@thatmattt,30
@theophani,30
@webspaceships,60
@whistlerbean,90
@yaraash,30
@youtube,420
@youtube”,30
@youtubeさんから,60
@youtubeさんから　この人の選曲わかってる感,30
@yrecruitchris,30
@zptr,30
a,1830
abend,30
ables,30
about,120
abt,30
acapella,420
account,30
accounts,30
action,30
actually,30
additional,30
adicionei,60
after,30
ah,30
ahh,30
ahora,60
aint,30
al,60
ala,30
all,150
alliance,30
also,30
alternate,30
although,30
always,30
am,30
amazing,90
an,210
and,450
animal,30
anymore,30
anyway,30
aparentemente,30
april,30
aqui,30
are,90
arin,30
around,60
arrived,30
artist,30
as,120
asco,30
aspiration,30
assets,30
asshats,30
at,120
atacan,30
atleti,30
audio,60
aufn,30
away,30
b,30
babouin,30
baby,30
back,60
background,30
bad,30
bafici,30
band,60
banjo,30
bank,30
be,90
beans,30
beat,30
beats,30
become,30
been,60
behind,30
believe,30
best,60
bico,30
big,60
bij,30
bit,30
blood,30
body,30
boss,30
brain,30
brainwashing,30
brauchn,30
bream,30
britain,30
broken,30
brother,30
bugging,30
but,210
butts,60
by,210
bye,30
cabeza,30
caesar,30
call,30
came,30
can,150
cancion,30
cancre,30
cannot,60
cant,90
capella,60
carajo,30
caritas,30
cartoon,30
casse,30
castilla,30
cccp,30
ccp,60
ccps,30
ce,60
character,60
cheers,30
chill,30
chillig,30
choice,60
christmas,30
christopher,30
city,30
classed,30
classic,60
clone,30
coffee,30
colored,30
colorful,30
come,30
coming,30
comme,30
commonsplus,30
como,60
company,30
complaint,30
comprenais,30
con,30
condition,30
congo,30
content,30
cool,30
corner,30
correction,30
county,30
course,30
cover,60
covered,60
coño,30
crackbrained,30
creadores,30
cruiser,30
cuando,60
cut,30
cute,30
d,30
dangerous,30
de,690
deep,30
del,90
demigod,30
derrière,30
despite,30
devil,30
did,60
didnt,30
different,30
diplomacy,30
direct,30
discover,30
disparan,30
diverse,30
do,60
domecq,30
donde,30
dont,150
down,30
dress,30
drill,60
drunken,30
díaz,30
e,30
easiest,30
editors,30
een,30
effective,30
ehh,30
einen,30
el,150
eldnoe,30
elle,30
en,90
endowed,30
enemy,30
enough,30
entertainment,30
entire,30
entonces,30
equipo,30
ernesto,30
esa,30
escuchando,30
especially,30
essa,30
esta,60
eve,60
ever,90
evil,30
evolucionado,30
exasperate,30
expect,30
experience,30
extra,30
eyes,30
fabrication,30
faint,30
fanfest,60
fans,30
far,30
fascinators,30
fat,30
favorito,60
feat,30
feedback,30
fela,30
fencewalk,60
fernando,30
ff,30
fight,30
fights,30
first,30
fix,30
flame,30
flayer,30
fleets,30
followers,30
following,30
for,330
forest,30
forever,30
fortunately,30
four,30
fray,30
freckles,30
free,30
freitag,30
friday,30
friend,30
frigate,30
from,150
fruit,30
full,30
fully,30
fundamentally,30
funk,30
funky,60
fusing,30
game,60
gameplay,30
gameskinny,30
gaming,30
gejammten,30
genus,30
geschreven,30
get,360
gets,30
getting,30
gift,30
gilipollas,30
girl,30
git,60
gits,30
gl,30
glasgow,30
go,60
goddamn,30
going,60
gonna,30
good,120
google,30
gooooooolllllll,30
gorilla,30
gostei,210
got,30
grace,30
great,60
group,30
guess,30
gunshy,30
gusta,30
götter,30
h,30
haggis,30
hahahahaha,30
hair,60
half,60
halfmandelamy,30
halfmandrill,30
handwritten,30
happy,60
has,120
hat,60
hats,30
have,270
having,30
hayan,30
he,90
head,60
hear,60
heavy,30
hed,60
heinlein,30
hell,30
help,30
here,150
hes,30
hiding,30
high,60
him,30
his,180
hispanic,30
hoekstravaneck,30
holding,30
holy,30
hope,30
horrible,30
how,120
hoy,60
hru,30
hubiese,60
hyenas,30
i,630
ich,30
id,60
ideas,30
idiot,60
ido,30
if,60
im,90
imma,30
immature,30
in,540
included,30
incredible,30
industry,30
inner,30
instead,30
into,60
is,630
isso,30
it,420
its,60
izasata,30
jacket,30
jaja,30
jajaja,30
jajajaja,30
jam,30
jammin,30
jayne,60
jugadores,30
jump,30
junk,30
just,180
k,90
kaminsky,30
kill,30
kiltro,30
king,30
knit,30
knock,30
know,120
knowwwwwwww,30
koper,30
kosten,30
kr7,30
kumba,60
la,90
las,30
latten,30
le,90
least,30
leg,30
legal,30
les,30
less,30
letter,30
lie,30
life,30
like,150
liked,60
likes,30
limit,30
line,30
lion,30
listen,30
little,30
live,30
ll,30
lloren,30
lodge,30
logos,30
lol,60
long,30
look,30
looks,30
looses,30
los,60
lot,60
love,60
mainly,30
make,30
male,30
mamarla,30
man,270
manages,30
mandrill,2820
mandrillmen,30
mandrills,60
mandrillstriker,30
mandrillus,30
mandrillwow,30
mandrillってとこヾ＠⌒ー⌒＠ノ,30
mango,60
march,30
market,30
maroon,30
mate,30
may,30
maze,30
mañana,30
mcgroove,30
me,120
means,60
meant,30
meat,60
meet,60
mega,180
megaman,450
metal,30
method,30
metralleta,30
mexican,30
mierda,30
milwaukee,30
mind,30
minderheid,30
mint,30
mirageman,30
mma,30
models,30
modifications,30
monkey,90
mood,30
moons,30
more,30
mos,30
mother,30
mucho,30
muere,30
muito,30
mujer,30
music,60
musikalische,30
muziek,30
my,240
mí,30
n,90
name,60
near,30
need,60
never,30
new,150
nice,30
nicolae,30
nieuw,30
no,210
not,60
note,30
nothing,60
novel,30
now,90
numbing,30
o,60
occupation,30
of,510
off,60
oh,30
oleoleoleoleoeleoleoeeoleoeleoleole,30
olha,30
on,180
once,30
one,90
online,30
only,30
opening,30
or,60
order,30
orgies,30
original,90
originally,30
others,30
otro,30
our,30
out,90
outside,30
over,30
overran,30
own,30
p,30
page,30
paignton,30
pair,30
para,30
park,30
part,30
parte,30
pasaras,30
pase,30
patrovitas,30
pay,30
pc,30
penguin,30
people,30
perdido,30
permission,30
pete,30
peter,30
philip,30
picked,30
picture,30
pierdan,30
pierde,30
pink,60
place,30
places,30
playback,30
players,30
please,30
plus,30
po,30
polla,30
poorlyunderstood,30
por,60
pretty,30
prevented,30
pride,30
prizes,30
probably,60
problems,30
producer,30
proofing,30
pua,30
public,30
pudrido,30
purple,30
put,30
puta,30
quality,30
que,150
quedaron,30
quevaaaaa,30
quite,30
rafiki,30
rainbow,30
raj,30
rally,30
raucous,30
read,30
ready,30
real,30
reason,30
record,30
recover,30
reduce,30
regret,30
reincarnated,30
remontada,30
reproachful,30
resubbed,30
revolutions,30
rfu,30
rocca,30
rock,30
roll,30
rolls,30
root,30
rt,30
ruff,30
sale,30
salen,30
sam,60
sample,30
santa,30
sapo,30
save,90
say,60
se,180
seagull,30
search,30
second,30
see,30
seeds,30
seedtime,30
seen,30
send,30
sendgrid,30
ser,30
service,30
set,30
shahrukh,30
sharp,30
shift,30
ship,30
shit,60
shogun,30
shop,30
should,30
show,60
showing,60
si,90
silent,30
silk,30
since,30
skins,30
slicker,30
smooth,30
snow,30
so,120
solid,30
some,30
somethin,30
somewhere,30
son,60
song,60
songs,30
soo,30
soon,30
soul,30
sounds,30
spark,750
spectacularlybearded,30
spice,30
spillover,30
spot,30
spring,30
squad,30
src=5,30
stand,30
star,30
stay,30
stekst,30
still,30
stoopid,30
stop,30
stories,30
straight,30
stream,30
strut”,30
stukkie,30
su,30
sublime,30
suggestions,30
summertime,30
sunflower,30
support,30
surprised,30
suzie,30
sykes,60
symphonic,30
take,30
talking,30
tambien,30
taquipariu,30
te,30
technology,30
temporal,30
tes,30
thanks,30
that,210
thats,90
the,1050
their,30
theme,120
there,60
these,60
they,30
thing,90
things,30
this,300
though,30
threat,30
thrills,30
throw,30
to,600
tocate,30
today,60
todays,30
toma,30
too,90
toosh,30
top,30
totally,30
toward,30
tr,30
train,60
treacys,30
trick,30
true,30
try,30
trying,30
tshirt,60
tu,30
turn,30
tv,30
tweet,30
twitch,30
two,30
typos,30
u,30
um,270
universe,30
unti,30
up,60
upでも使われていたレア・グルーヴブレイク・クラシック！mandrill,30
us,30
ushindi,30
v=3ohvxeavqvi,30
v=hyx9kwyjdi,60
v=i6zbkj5bbw,30
v=x9cufdumc,30
v=xxc0vjiuqaq,30
vamos,30
vargas,30
venido,30
venue,30
verkoop,30
very,30
via,150
vicious,30
victor,30
video,90
voluptuous,30
voor,30
vosotrosss,30
vraiment,30
vía,30
vídeo,270
wait,30
want,60
was,60
wbrooklyn,30
we,180
wear,30
wed,30
well,30
went,30
were,60
what,30
whatchu,30
when,60
where,60
which,30
while,30
whirlpool,30
who,30
whole,30
why,90
wikimedia,30
will,60
win,30
winamp,30
wish,30
wishes,30
with,330
without,30
wondering,30
would,90
wouldnt,30
wouldve,30
x,540
xs,60
xzw,30
y,150
yeah,30
years,30
you,390
your,120
zach,30
zomg,30
zoo,60
¿en,30
–,60
“@chrisjboyland,30
“@missmya,30
“fat,30
”,30
…,330
€175000,30
▸,30
♥ty,30
♥ღ,30
♫,90
♫♥,30
【soul,30
おしゃれだし、美容師さんも素敵oﾟ▽ﾟo,30
ジャンルごった煮のバンド、mandrillの75年作！オススメはoddiseeがサンプリングしたb3「silk」メロウながらも力強いグルーヴの気持ちイイ1曲です。ジワジワ感が堪りません！mandrill,30
パーカッシヴなビートに重厚なベースやスペイシーなシンセ等が絡むb1が◎な80年の好作！シッカリ打ったドラムながらもメロウなb4などもナイス！mandrill,30
